;DataSet;Algorithm;Metric;Explainer;Criteria;Value
0;ttt;RF;Acc;;uncal;0.9177453027139875
1;ttt;RF;AUC;;uncal;0.8741994192921115
2;ttt;RF;Log;;uncal;0.3231649999147255
3;ttt;RF;ECE;;uncal;0.15787265122418986
4;ttt;RF;Acc;;platt;0.8951983298538622
5;ttt;RF;AUC;;platt;0.8281216900123387
6;ttt;RF;Log;;platt;0.28273249074244733
7;ttt;RF;ECE;;platt;0.04522639757481128
8;ttt;RF;Acc;;va;0.8958246346555323
9;ttt;RF;AUC;;va;0.8197963160065178
10;ttt;RF;Log;;va;0.2721375847821957
11;ttt;RF;ECE;;va;0.038021379717507076
12;pc4;RF;Acc;;uncal;0.894415487714073
13;pc4;RF;AUC;;uncal;0.9070392759567654
14;pc4;RF;Log;;uncal;0.2189292302323932
15;pc4;RF;ECE;;uncal;0.02916976909984627
16;pc4;RF;Acc;;platt;0.8900223380491437
17;pc4;RF;AUC;;platt;0.8921659766380182
18;pc4;RF;Log;;platt;0.2464668196920833
19;pc4;RF;ECE;;platt;0.02548695922456821
20;pc4;RF;Acc;;va;0.8891288160833953
21;pc4;RF;AUC;;va;0.8890062451107694
22;pc4;RF;Log;;va;0.23571587939923522
23;pc4;RF;ECE;;va;0.010387643455816893
